icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
KMAX,MAX,,Jackson County,OR,US,42.07,-122.67,2290,8,1005
KEAU,EAU,,Eau Claire,WI,US,44.95,-91.45,276,4,1034
KAPN,APN,72639,Alpena,MI,US,45.08,-83.62,210,4,1085
KIWD,IWD,,Ironwood,MI,US,46.45,-90.17,375,7,1124
KBGR,BGR,72607,Bangor,ME,US,44.75,-68.87,57,3,1228
KGRF,GRF,74207,Fort Lewis,WA,US,47.02,-122.65,92,6,1281
MMNL,NLD,,Nuevo Laredo,,MX,27.37,-99.52,148,6,A111
KVCT,VCT,72255,Victoria,TX,US,28.88,-96.98,31,6,A155
KHOU,HOU,,Houston/Hobby,TX,US,29.63,-95.25,36,3,A179
KGRK,GRK,,Fort Hood,TX,US,31.15,-97.87,309,5,A236
KINK,INK,,Wink,TX,US,31.72,-103.25,855,6,A267
KCNM,CNM,,Carlsbad,NM,US,32.4,-104.22,985,6,A304
KADM,ADM,,Ardmore,OK,US,34.22,-96.98,232,4,A390
KDQU,DQU,74752,DeQueen Profiler,AR,US,34.17,-94.2,175,8,A393
KANB,ANB,,Anniston Metro,AL,US,33.57,-85.92,183,6,A402
KNKX,NKX,72293,Miramar NAS,CA,US,32.83,-117.22,146,5,A409
KLZK,LZK,72340,North Little Rock,AR,US,34.87,-92.28,173,8,A436
KPSP,PSP,,Palm Springs,CA,US,33.77,-116.53,135,3,A452
KPYX,PYX,,Perryton,TX,US,36.45,-100.83,889,8,A513
KCLT,CLT,72314,Charlotte,NC,US,35.18,-80.85,220,4,A534
KHPX,HPX,,Hopkinton,KY,US,36.82,-87.3,177,8,A572
KENL,ENL,,Centralia,IL,US,38.53,-89.03,163,7,A664
KEKN,EKN,72417,Elkins,WV,US,38.98,-79.85,603,4,A766
KBWI,BWI,72406,Baltimore,MD,US,39.2,-76.7,59,3,A815
KBAB,BAB,,Beale AFB,CA,US,39.08,-121.4,34,6,A819
,SLA,74449,Slater Profiler,IA,US,41.92,-93.83,299,8,A846
KCID,CID,72545,Cedar Rapids,IA,US,41.83,-91.73,264,4,A848
KPNA,PNA,,Pinedale,WY,US,42.78,-109.82,2160,8,A925
KLND,LND,72576,Lander,WY,US,42.88,-108.77,1694,6,A926
KMHS,MHS,72595,Mount Shasta,CA,US,41.32,-122.33,1078,7,A958
KMBS,MBS,,Saginaw,MI,US,43.53,-83.98,202,6,A993
KABQ,ABQ,72365,Albuquerque,NM,US,35.05,-106.62,1618,0,ABQ
KABR,ABR,72659,Aberdeen,SD,US,45.45,-98.42,397,3,ABR
KALB,ALB,72518,Albany County,NY,US,42.68,-73.83,92,3,ALY
KAMA,AMA,72363,Amarillo,TX,US,35.23,-101.7,1093,3,AMA
KBIS,BIS,72764,Bismarck,ND,US,46.77,-100.75,505,0,BIS
KBMX,BMX,72230,Birmingham WFO,AL,US,33.1,-86.7,197,8,BMX
KBOI,BOI,72681,Boise,ID,US,43.57,-116.22,875,0,BOI
KBRO,BRO,72250,Brownsville,TX,US,25.9,-97.43,7,0,BRO
KBUF,BUF,72528,Buffalo,NY,US,42.93,-78.73,211,0,BUF
KCAR,CAR,72712,Caribou,ME,US,46.87,-68.02,191,0,CAR
KCHH,CHH,74494,Chatham,MA,US,41.67,-69.97,16,8,CHH
KCHS,CHS,72208,Charleston AFB,SC,US,32.9,-80.03,13,1,CHS
KCRP,CRP,72251,Corpus Christi,TX,US,27.77,-97.5,14,2,CRP
KDDC,DDC,72451,Dodge City,KS,US,37.77,-99.97,789,0,DDC
KDRT,DRT,72261,Del Rio,TX,US,29.37,-100.92,313,2,DRT
KDTX,DTX,72632,Detroit WFO,MI,US,42.7,-83.47,327,8,DTX
KDVN,DVN,74455,Davenport,IA,US,41.62,-90.58,230,3,DVN
KEPZ,EPZ,72364,Santa Teresa,NM,US,31.9,-106.7,1251,8,EPZ
KEYW,EYW,72201,Key West,FL,US,24.55,-81.75,5,2,EYW
KFFC,FFC,72215,Peachtree City,GA,US,33.35,-84.57,262,1,FFC
KFWD,FWD,72249,Ft. Worth,TX,US,32.8,-97.3,196,8,FWD
KGGW,GGW,72768,Glasgow,MT,US,48.2,-106.62,694,2,GGW
KGJT,GJT,72476,Grand Junction,CO,US,39.12,-108.53,1475,2,GJT
KGRB,GRB,72645,Green Bay,WI,US,44.48,-88.13,208,3,GRB
KGSO,GSO,72317,Greensboro,NC,US,36.08,-79.95,275,3,GSO
KGYX,GYX,74389,Gray,ME,US,43.88,-70.25,125,8,GYX
KIAD,IAD,72403,Washington/Dulles,VA,US,38.98,-77.47,93,0,IAD
KILN,ILN,72426,Wilmington,OH,US,39.42,-83.82,322,3,ILN
KILX,ILX,74560,Lincoln,IL,US,40.15,-89.33,177,8,ILX
KINL,INL,72747,International Falls,MN,US,48.57,-93.38,360,1,INL
KJAN,JAN,72235,Jackson,MS,US,32.32,-90.07,91,3,JAN
KJAX,JAX,72206,Jacksonville Intl,FL,US,30.43,-81.7,10,0,JAX
KLBF,LBF,72562,North Platte,NE,US,41.13,-100.68,847,3,LBF
KLCH,LCH,72240,Lake Charles,LA,US,30.12,-93.22,4,3,LCH
KLKN,LKN,72582,Elko WFO,NV,US,40.87,-115.73,1608,8,LKN
KLMN,,74646,Lamont ARM,OK,US,36.62,-97.48,314,8,LMN
KLZK,LZK,72340,North Little Rock,AR,US,34.83,-92.27,173,8,LZK
KMAF,MAF,72265,Midland,TX,US,31.93,-102.2,874,5,MAF
KMFR,MFR,72597,Medford,OR,US,42.37,-122.87,396,0,MFR
KMHX,MHX,72305,Morehead City,NC,US,34.7,-76.8,9,8,MHX
KMPX,MPX,72649,Chanhassen,MN,US,44.83,-93.55,288,8,MPX
KNKX,NKX,72293,Miramar NAS,CA,US,32.87,-117.15,146,5,NKX
KOAK,OAK,72493,Oakland,CA,US,37.75,-122.22,26,1,OAK
