icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,,Lamont FP 1,KS,US,36.607,-97.488,0,7,FP1
,,,Greensburg FP 2,KS,US,37.606,-99.276,0,7,FP2
,,,Ellis FP 3,KS,US,38.958,-99.574,0,7,FP3
,,,Minden FP 4,KS,US,40.515,-98.951,0,7,FP4
,,,Brewster FP 5,KS,US,39.358,-101.371,0,7,FP5
,,,Hesston FP 6,KS,US,38.144,-97.349,0,7,FP6
KDDC,DDC,72451,Dodge City,KS,US,37.78,-99.97,789,0,DDC
KAMA,AMA,72363,Amarillo,TX,US,35.23,-101.7,1093,3,AMA
KTOP,TOP,72456,Topeka,KS,US,39.08,-95.62,268,3,TOP
KOAX,OAX,72558,Omaha/Valley,NE,US,41.3166666667,-96.3666666667,350,8,OAX
KLBF,LBF,72562,North Platte,NE,US,41.14,-100.68,847,3,LBF
KOUN,OUN,72357,Norman/Max Westheimer,OK,US,35.246,-97.472,357,3,oun
